,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
181,"Market penetration, unique subscribers",0,Total,,Mali,,,,0.07%,0.12%,0.17%,0.22%,0.28%,0.36%,0.44%,0.55%,0.68%,0.88%,1.26%,1.52%,1.97%,2.21%,2.46%,2.77%,3.11%,3.62%,4.09%,4.73%,5.50%,6.43%,7.72%,8.69%,10.03%,11.18%,12.24%,13.38%,15.26%,16.28%,17.02%,18.02%,18.96%,19.35%,20.07%,21.17%,21.98%,23.01%,26.11%,28.39%,29.69%,31.28%,34.14%,36.77%,38.32%,39.36%,42.65%,47.40%,51.44%,53.85%,56.25%,58.61%,60.85%,62.85%,64.49%,65.73%,65.73%,65.64%,65.55%,65.44%,65.34%,65.23%,65.13%,61.51%,64.31%,65.46%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%,65.73%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95%,1.34%,1.84%,2.24%,2.61%,2.98%,3.42%,3.84%,4.30%,4.98%,5.76%,6.53%,7.37%,8.34%,9.04%,10.33%,11.09%,12.36%,13.37%,14.36%,15.28%,16.30%,17.82%,19.28%,20.52%,21.51%,22.51%,23.48%,24.49%,25.49%,26.46%,27.43%,28.37%,29.26%,30.12%,30.95%,31.74%,32.51%,33.25%,33.97%,34.68%,35.36%,36.03%,36.69%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95%,1.13%,1.28%,1.40%,1.55%,1.78%,2.03%,2.23%,2.39%,2.73%,3.09%,3.39%,3.74%,4.22%,4.43%,5.18%,5.71%,6.10%,6.52%,6.93%,7.36%,7.72%,7.92%,8.11%,8.31%,8.56%,8.87%,9.13%,9.35%,9.54%,9.72%,9.89%,10.05%,10.20%,10.36%,10.53%,10.70%,10.86%,11.02%,11.19%,11.36%,11.53%,11.69%,11.86%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21%,0.56%,0.84%,1.06%,1.20%,1.39%,1.61%,1.91%,2.26%,2.67%,3.14%,3.62%,4.12%,4.62%,5.15%,5.38%,6.26%,6.85%,7.43%,7.92%,8.58%,9.90%,11.17%,12.20%,12.95%,13.64%,14.34%,15.15%,15.95%,16.75%,17.54%,18.32%,19.06%,19.75%,20.41%,21.04%,21.65%,22.23%,22.78%,23.32%,23.83%,24.34%,24.83%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",0,Total,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,600,000","5,540,370","6,335,947","6,878,659","7,613,132","8,966,531","10,116,625","10,820,500","11,304,885","12,514,540","13,768,061","14,606,603","15,593,724","17,029,616","17,415,145","19,748,121","21,475,378","20,659,115","20,930,606","23,504,729","25,499,042","23,014,464","20,423,638","19,338,756","22,817,371","19,757,972","18,398,456","19,578,284","20,474,441","21,146,316","21,705,862","22,237,155","22,731,996","23,143,441","23,519,385","23,892,199","24,261,129","24,602,643","24,933,038","25,256,507","25,570,165","25,868,443","26,154,815","26,432,233"
190,"Connections, including cellular M2M",0,Total,224,Orange (Sonatel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,689,000","4,076,305","4,377,000","4,716,819","4,999,132","5,682,974","6,461,487","6,444,581","7,049,731","7,137,727","7,755,583","8,583,838","9,089,319","9,505,712","9,435,284","10,825,490","11,192,378","11,494,832","11,215,606","12,831,984","14,328,042","13,460,911","12,336,638","11,908,026","14,007,617","11,666,733","10,416,927","11,521,205","12,298,340","12,765,673","13,086,302","13,400,988","13,714,630","13,954,841","14,162,837","14,370,272","14,578,625","14,767,967","14,948,435","15,123,326","15,291,244","15,448,666","15,597,463","15,739,129"
190,"Connections, including cellular M2M",0,Total,268,Malitel (Sotelma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"911,000","1,464,065","1,958,947","2,161,840","2,614,000","3,283,557","3,655,138","4,375,919","4,255,154","5,376,813","6,012,478","6,022,765","6,504,405","7,523,904","7,979,861","8,922,631","10,283,000","9,164,283","9,715,000","10,672,745","11,171,000","9,553,553","8,087,000","7,430,730","8,809,754","8,091,239","7,981,529","8,057,079","8,176,101","8,380,643","8,619,560","8,836,167","9,017,366","9,188,600","9,356,548","9,521,927","9,682,504","9,834,676","9,984,603","10,133,181","10,278,921","10,419,777","10,557,352","10,693,104"
190,"Connections, including cellular M2M",1251,Cellular M2M,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,293,487,716,975,"1,261","1,583","1,950","2,360","2,800","3,284","3,813","4,378","4,967","5,606","6,304","7,042","7,803","8,638","9,576","10,617","11,733","12,927","14,205","15,545","16,922","18,397","19,988","21,676","23,416","25,276","27,272","29,389","31,569","33,881","36,326","38,879","41,512","44,251","47,129"
