,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",0,Total,,Liberia,,,,,,0.08%,0.17%,0.28%,0.40%,0.52%,0.66%,0.80%,0.96%,1.11%,1.26%,1.43%,1.64%,1.92%,2.22%,2.80%,3.62%,4.33%,4.62%,5.55%,6.64%,8.19%,9.31%,10.29%,12.27%,12.81%,13.03%,13.51%,14.70%,15.99%,16.80%,17.81%,18.77%,19.46%,21.23%,22.03%,23.14%,24.20%,25.18%,25.85%,26.80%,27.79%,28.99%,29.89%,30.43%,30.75%,31.11%,31.97%,32.30%,32.51%,32.67%,32.96%,33.07%,33.17%,33.30%,33.41%,33.59%,33.48%,33.35%,33.96%,34.82%,35.54%,36.10%,36.63%,37.15%,37.61%,38.05%,38.46%,38.85%,39.21%,39.54%,39.87%,40.18%,40.47%,40.74%,41.01%,41.27%,41.52%,41.75%,41.97%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87%,0.95%,1.02%,1.09%,1.33%,1.58%,1.85%,2.12%,2.39%,2.66%,3.04%,3.48%,4.35%,5.33%,6.43%,7.68%,8.35%,9.02%,9.65%,10.25%,10.92%,11.49%,12.14%,12.79%,13.45%,14.11%,14.78%,15.45%,16.12%,16.77%,17.41%,18.04%,18.65%,19.24%,19.81%,20.37%,20.91%,21.42%,21.91%,22.39%,22.85%,23.29%,23.70%,24.10%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81%,0.89%,0.96%,1.03%,1.25%,1.49%,1.75%,2.01%,2.26%,2.49%,2.74%,3.02%,3.75%,4.56%,5.47%,6.52%,7.01%,7.43%,7.84%,8.20%,8.63%,8.94%,9.30%,9.66%,10.01%,10.35%,10.67%,10.97%,11.25%,11.51%,11.76%,11.99%,12.21%,12.41%,12.59%,12.76%,12.91%,13.04%,13.15%,13.24%,13.31%,13.36%,13.39%,13.40%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06%,0.06%,0.06%,0.06%,0.08%,0.09%,0.10%,0.11%,0.13%,0.17%,0.31%,0.45%,0.60%,0.77%,0.96%,1.16%,1.34%,1.58%,1.81%,2.05%,2.29%,2.56%,2.85%,3.12%,3.43%,3.76%,4.11%,4.48%,4.87%,5.26%,5.65%,6.04%,6.44%,6.83%,7.22%,7.61%,8.00%,8.38%,8.77%,9.15%,9.54%,9.92%,10.31%,10.69%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",0,Total,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,277,357","1,379,986","1,479,613","1,558,241","1,660,216","1,770,190","1,910,164","2,030,137","2,114,385","2,174,634","2,236,046","2,368,424","2,425,191","2,466,958","2,501,724","2,555,490","2,626,416","2,625,416","2,666,133","2,703,533","2,747,568","2,734,080","2,750,185","2,858,309","3,005,076","3,117,503","3,230,633","3,330,036","3,428,215","3,518,649","3,605,576","3,690,001","3,770,662","3,845,520","3,918,090","3,989,240","4,058,009","4,122,608","4,185,854","4,248,307","4,309,373","4,368,099","4,425,156","4,481,146"
190,"Connections, including cellular M2M",0,Total,76,Cellcom (Orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"432,757","502,013","571,270","640,526","685,231","729,935","774,640","819,344","858,518","897,691","936,865","976,038","981,301","986,565","991,828","997,091","1,033,703","1,083,124","1,136,042","1,181,583","1,204,672","1,214,243","1,234,265","1,289,029","1,387,524","1,465,590","1,527,928","1,585,864","1,641,369","1,690,113","1,735,756","1,780,160","1,822,805","1,861,969","1,899,679","1,936,569","1,972,111","2,005,311","2,037,739","2,069,803","2,101,221","2,131,441","2,160,807","2,189,630"
190,"Connections, including cellular M2M",0,Total,3950,LIBTELCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,366","3,732","4,097","4,463","5,670","6,876","8,083","9,289","10,400","11,512","12,623","13,734","11,456","9,178","6,899","4,621","4,789","5,221","5,874","6,587","7,233","7,874","8,657","9,717","11,121","12,766","14,564","16,431","18,368","20,369","22,426","24,461","26,442","28,362","30,284","32,204","34,101","35,935","37,768","39,597","41,403","43,166","44,907","46,643"
