,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.41%,37.71%,38.86%,42.63%,49.09%,54.46%,59.45%,63.58%,65.54%,65.88%,65.05%,58.93%,55.36%,51.89%,48.83%,50.68%,46.73%,42.47%,39.96%,35.93%,36.24%,33.36%,30.32%,25.44%,21.80%,21.79%,20.52%,19.57%,18.55%,17.43%,16.32%,15.14%,13.85%,12.48%,11.08%,9.71%,8.38%,7.08%,5.80%,4.57%,3.42%,2.39%,1.39%,0.39%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.43%,184.85%,165.12%,150.33%,139.14%,120.95%,93.62%,85.73%,80.56%,73.66%,68.17%,63.45%,59.57%,56.26%,53.39%,50.87%,48.64%,46.66%,44.93%,43.41%,42.08%,40.91%,39.80%,38.68%,37.49%,36.20%,34.83%,33.40%,31.98%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",0,Total,,Benin,0.15%,0.27%,0.52%,0.88%,1.37%,1.84%,2.31%,2.76%,3.20%,3.63%,4.06%,4.48%,4.89%,5.30%,5.70%,6.21%,6.13%,6.07%,6.06%,6.14%,6.32%,6.60%,6.95%,7.33%,7.75%,8.51%,9.46%,10.36%,11.89%,13.48%,14.49%,16.20%,18.04%,20.45%,21.80%,23.86%,26.16%,28.83%,30.36%,32.05%,32.85%,33.78%,34.51%,35.73%,36.37%,36.83%,37.03%,37.11%,37.18%,37.25%,37.32%,37.38%,37.45%,37.51%,37.57%,39.09%,41.15%,41.08%,41.00%,42.79%,44.09%,44.33%,44.68%,45.03%,45.21%,44.94%,44.66%,45.09%,45.79%,46.80%,47.95%,49.05%,49.98%,50.82%,51.63%,52.41%,53.17%,53.85%,54.50%,55.12%,55.69%,56.21%,56.68%,57.12%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30%,1.40%,1.52%,1.69%,1.88%,2.10%,2.35%,2.70%,3.03%,3.39%,3.78%,4.42%,5.04%,5.67%,6.30%,7.12%,7.82%,8.63%,9.47%,10.43%,11.42%,12.20%,13.09%,14.00%,14.93%,15.90%,16.88%,17.90%,18.95%,20.00%,21.07%,22.17%,23.27%,24.36%,25.48%,26.62%,27.77%,28.91%,30.07%,31.24%,32.41%,33.58%,34.72%,35.87%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30%,1.40%,1.52%,1.69%,1.88%,2.10%,2.35%,2.70%,3.03%,3.39%,3.78%,4.17%,4.59%,5.02%,5.48%,6.12%,6.56%,6.97%,7.47%,8.10%,8.70%,9.05%,9.49%,9.90%,10.32%,10.74%,11.14%,11.54%,11.93%,12.29%,12.63%,12.95%,13.24%,13.47%,13.68%,13.85%,13.99%,14.07%,14.11%,14.13%,14.11%,14.05%,13.96%,13.83%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24%,0.46%,0.65%,0.82%,1.00%,1.27%,1.67%,1.99%,2.33%,2.72%,3.15%,3.61%,4.09%,4.61%,5.16%,5.74%,6.36%,7.02%,7.71%,8.44%,9.22%,10.03%,10.89%,11.80%,12.77%,13.78%,14.85%,15.96%,17.12%,18.31%,19.53%,20.77%,22.04%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Connections, including cellular M2M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
