,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
180,"Growth rate, unique subscribers, annual",1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.34%,76.63%,70.77%,59.33%,55.68%,51.85%,51.91%,57.17%,57.92%,52.19%,46.46%,43.18%,40.20%,37.41%,32.32%,25.17%,23.49%,22.68%,25.88%,29.10%,30.12%,30.19%,28.98%,27.30%,26.61%,25.20%,22.28%,20.56%,18.74%,17.20%,15.92%,14.79%,13.78%,12.95%,12.24%,11.60%,11.01%,10.48%,10.00%,9.52%,9.06%,8.66%,8.24%,7.84%
180,"Growth rate, unique subscribers, annual",1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.92%,74.23%,65.80%,52.15%,46.93%,41.27%,42.47%,47.83%,48.40%,42.55%,35.85%,32.77%,29.21%,22.33%,16.45%,8.92%,7.58%,9.29%,15.05%,19.59%,21.27%,21.86%,18.09%,14.54%,12.87%,10.69%,7.65%,5.94%,4.52%,3.37%,2.41%,1.32%,0.25%,-0.81%,-1.93%,-3.11%,-4.26%,-5.33%,-6.36%,-7.25%,-7.98%,-8.52%,-8.95%,-9.37%
180,"Growth rate, unique subscribers, annual",1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96%,85.26%,88.32%,84.76%,85.12%,87.56%,81.35%,84.44%,83.32%,76.72%,72.42%,67.56%,63.96%,68.36%,62.92%,55.29%,50.58%,42.65%,40.82%,41.47%,40.89%,39.70%,41.24%,41.32%,41.01%,39.66%,36.07%,33.58%,30.65%,28.11%,25.98%,24.32%,22.85%,21.72%,20.82%,20.07%,19.36%,18.69%,18.03%,17.31%,16.55%,15.77%,14.94%,14.16%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Market penetration, unique subscribers",0,Total,,Tanzania,0.22%,0.24%,0.27%,0.47%,0.56%,0.69%,0.81%,1.02%,1.23%,1.44%,1.65%,1.93%,2.15%,2.34%,2.55%,2.86%,3.20%,3.72%,4.26%,4.83%,5.33%,5.95%,6.72%,7.57%,8.34%,9.42%,10.58%,11.36%,12.20%,13.10%,14.22%,15.43%,16.60%,17.72%,19.31%,20.78%,21.80%,22.82%,24.15%,25.70%,25.89%,27.65%,27.44%,27.47%,27.26%,28.46%,29.95%,31.34%,31.55%,32.03%,32.67%,33.93%,33.93%,33.80%,33.67%,33.54%,33.75%,34.38%,36.22%,37.84%,39.07%,40.41%,42.22%,44.00%,43.67%,42.66%,43.71%,45.56%,46.68%,47.72%,48.71%,49.62%,50.44%,51.14%,51.78%,52.38%,52.93%,53.40%,53.83%,54.24%,54.61%,54.94%,55.24%,55.51%
181,"Market penetration, unique subscribers",1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84%,5.56%,6.26%,6.78%,7.30%,8.18%,9.22%,10.32%,11.16%,12.06%,13.07%,14.32%,15.16%,16.05%,16.76%,17.36%,18.14%,19.08%,20.44%,21.72%,22.87%,24.08%,25.56%,26.80%,28.07%,29.23%,30.30%,31.33%,32.32%,33.22%,34.06%,34.88%,35.66%,36.39%,37.09%,37.76%,38.41%,39.01%,39.58%,40.13%,40.65%,41.14%,41.58%,42.01%
181,"Market penetration, unique subscribers",1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73%,4.29%,4.74%,5.05%,5.31%,5.87%,6.54%,7.23%,7.63%,8.11%,8.61%,9.30%,9.55%,9.61%,9.71%,9.82%,9.96%,10.17%,10.83%,11.38%,11.70%,12.02%,12.40%,12.63%,12.80%,12.89%,12.94%,12.97%,12.98%,12.93%,12.85%,12.75%,12.62%,12.44%,12.22%,11.98%,11.72%,11.42%,11.11%,10.79%,10.47%,10.14%,9.81%,9.49%
181,"Market penetration, unique subscribers",1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11%,1.27%,1.52%,1.73%,1.99%,2.31%,2.67%,3.09%,3.53%,3.95%,4.46%,5.02%,5.61%,6.45%,7.05%,7.55%,8.18%,8.91%,9.61%,10.34%,11.17%,12.06%,13.16%,14.17%,15.27%,16.33%,17.36%,18.35%,19.34%,20.29%,21.21%,22.13%,23.05%,23.96%,24.86%,25.78%,26.69%,27.59%,28.48%,29.35%,30.19%,31.00%,31.77%,32.52%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
